Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,1.2001,0.01215,0.00475,-0.2735,0.3532,0.026
0.25,1.2301,0.01219,0.00481,-0.2737,0.351,0.0342
0.5,1.2637,0.01217,0.0049,-0.2749,0.3484,0.0967
0.75,1.2971,0.01217,0.00506,-0.2761,0.3454,0.1844
1,1.3255,0.01229,0.0052,-0.2761,0.3425,0.2112
1.25,1.3534,0.01243,0.00535,-0.276,0.3397,0.2312
1.5,1.3808,0.01257,0.00549,-0.2757,0.3373,0.2423
1.75,1.4082,0.01268,0.00561,-0.2755,0.3361,0.2549
2,1.4357,0.0128,0.00576,-0.2752,0.3347,0.2681
2.25,1.4625,0.01294,0.00589,-0.2748,0.3329,0.2754
2.5,1.4895,0.01308,0.00605,-0.2745,0.331,0.2855
2.75,1.5159,0.01323,0.00621,-0.2741,0.3289,0.2951
3,1.5425,0.0134,0.00639,-0.2737,0.3268,0.3075
3.25,1.5687,0.01358,0.00658,-0.2733,0.3248,0.3209
3.5,1.5949,0.01376,0.00678,-0.2728,0.3228,0.3373
3.75,1.6208,0.01397,0.00701,-0.2723,0.3206,0.3543
4,1.647,0.01413,0.00721,-0.2719,0.3196,0.3724
4.25,1.6734,0.01428,0.00741,-0.2715,0.3184,0.3921
4.5,1.6996,0.01444,0.00762,-0.2711,0.3169,0.4137
4.75,1.7258,0.01461,0.00785,-0.2706,0.3152,0.4379
5,1.7517,0.0148,0.00808,-0.2702,0.3132,0.4647
5.25,1.7776,0.015,0.00834,-0.2698,0.3107,0.496
5.5,1.8035,0.01523,0.00861,-0.2694,0.308,0.5356
5.75,1.829,0.01549,0.00893,-0.2689,0.3048,0.5757
6,1.8549,0.0157,0.00921,-0.2685,0.3024,0.6192
6.25,1.8815,0.01587,0.00949,-0.2682,0.3002,0.6717
6.5,1.9083,0.01607,0.00981,-0.268,0.2978,0.74
6.75,1.9284,0.01607,0.01008,-0.2663,0.2956,0.9917
7.25,1.9746,0.01667,0.01067,-0.2644,0.2893,1
7.5,1.9973,0.01697,0.01099,-0.2634,0.2859,1
7.75,2.0203,0.01725,0.01128,-0.2624,0.2825,1
8,2.0427,0.01756,0.0116,-0.2614,0.2785,1
8.25,2.064,0.01797,0.01198,-0.2602,0.2728,1
8.5,2.0859,0.01832,0.01233,-0.2591,0.2667,1
8.75,2.1062,0.01881,0.01278,-0.2577,0.2576,1
9,2.1271,0.01923,0.0132,-0.2564,0.251,1
9.25,2.1463,0.01977,0.01371,-0.2549,0.2434,1
9.5,2.1659,0.02026,0.0142,-0.2534,0.2373,1
9.75,2.1841,0.02086,0.01478,-0.2517,0.2296,1
10,2.2023,0.02145,0.01537,-0.25,0.2224,1
10.25,2.2185,0.02221,0.01609,-0.248,0.213,1
10.5,2.2334,0.02305,0.01689,-0.2458,0.2015,1
10.75,2.2462,0.02406,0.01785,-0.2434,0.1887,1
11,2.2598,0.02498,0.01875,-0.241,0.1797,1
11.25,2.2706,0.02612,0.01985,-0.2383,0.1691,1
11.5,2.2814,0.02725,0.02097,-0.2356,0.1598,1
11.75,2.292,0.02838,0.02209,-0.233,0.1517,1
12,2.3007,0.02969,0.02339,-0.2301,0.1438,1
12.25,2.3093,0.03099,0.02469,-0.2273,0.1362,1
12.5,2.316,0.03246,0.02617,-0.2243,0.129,1
12.75,2.3212,0.03407,0.02779,-0.2213,0.1217,1
13,2.3268,0.03568,0.02942,-0.2184,0.1155,1
13.25,2.3294,0.03761,0.03136,-0.2153,0.109,1
13.5,2.3343,0.03937,0.03317,-0.2126,0.1043,1
13.75,2.3353,0.04156,0.03539,-0.2097,0.0987,1
14,2.3371,0.04374,0.03762,-0.207,0.0946,1
14.25,2.3378,0.04611,0.04003,-0.2045,0.0905,1
14.5,2.3344,0.04901,0.04298,-0.2019,0.0864,1
14.75,2.3336,0.05175,0.0458,-0.1997,0.0832,1
15,2.3287,0.0551,0.04921,-0.1976,0.0796,1
15.25,2.3188,0.05923,0.05342,-0.1957,0.0751,1
15.5,2.3082,0.0637,0.05797,-0.1941,0.071,1
15.75,2.2984,0.0683,0.06266,-0.1931,0.0689,1
16,2.2864,0.07347,0.06794,-0.1925,0.0669,1
16.25,2.2719,0.07925,0.07384,-0.1923,0.0642,1
16.5,2.257,0.08529,0.08001,-0.1925,0.0628,1
16.75,2.2372,0.09231,0.08716,-0.1933,0.0611,1
9.5,2.1659,0.02026,0.0142,-0.2534,0.2373,1
9.75,2.1841,0.02086,0.01478,-0.2517,0.2296,1
10,2.2023,0.02145,0.01537,-0.25,0.2224,1
10.25,2.2185,0.02221,0.01609,-0.248,0.213,1
10.5,2.2334,0.02305,0.01689,-0.2458,0.2015,1
10.75,2.2462,0.02406,0.01785,-0.2434,0.1887,1
11,2.2598,0.02498,0.01875,-0.241,0.1797,1
11.25,2.2706,0.02612,0.01985,-0.2383,0.1691,1
11.5,2.2814,0.02725,0.02097,-0.2356,0.1598,1
11.75,2.292,0.02838,0.02209,-0.233,0.1517,1
12,2.3007,0.02969,0.02339,-0.2301,0.1438,1
12.25,2.3093,0.03099,0.02469,-0.2273,0.1362,1
12.5,2.316,0.03246,0.02617,-0.2243,0.129,1
12.75,2.3212,0.03407,0.02779,-0.2213,0.1217,1
13,2.3268,0.03568,0.02942,-0.2184,0.1155,1
13.25,2.3294,0.03761,0.03136,-0.2153,0.109,1
13.5,2.3343,0.03937,0.03317,-0.2126,0.1043,1
13.75,2.3353,0.04156,0.03539,-0.2097,0.0987,1
14,2.3371,0.04374,0.03762,-0.207,0.0946,1
14.25,2.3378,0.04611,0.04003,-0.2045,0.0905,1
14.5,2.3344,0.04901,0.04298,-0.2019,0.0864,1
14.75,2.3336,0.05175,0.0458,-0.1997,0.0832,1
15,2.3287,0.0551,0.04921,-0.1976,0.0796,1
15.25,2.3188,0.05923,0.05342,-0.1957,0.0751,1
15.5,2.3082,0.0637,0.05797,-0.1941,0.071,1
15.75,2.2984,0.0683,0.06266,-0.1931,0.0689,1
16,2.2864,0.07347,0.06794,-0.1925,0.0669,1
16.25,2.2719,0.07925,0.07384,-0.1923,0.0642,1
16.5,2.257,0.08529,0.08001,-0.1925,0.0628,1
16.75,2.2372,0.09231,0.08716,-0.1933,0.0611,1
14.5,2.3344,0.04901,0.04298,-0.2019,0.0864,1
14.75,2.3336,0.05175,0.0458,-0.1997,0.0832,1
15,2.3287,0.0551,0.04921,-0.1976,0.0796,1
15.25,2.3188,0.05923,0.05342,-0.1957,0.0751,1
15.5,2.3082,0.0637,0.05797,-0.1941,0.071,1
15.75,2.2984,0.0683,0.06266,-0.1931,0.0689,1
16,2.2864,0.07347,0.06794,-0.1925,0.0669,1
16.25,2.2719,0.07925,0.07384,-0.1923,0.0642,1
16.5,2.257,0.08529,0.08001,-0.1925,0.0628,1
16.75,2.2372,0.09231,0.08716,-0.1933,0.0611,1
