Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,1.1435,0.01758,0.00827,-0.262,0.431,0.1819
0.25,1.173,0.01778,0.00846,-0.2622,0.4265,0.2324
0.5,1.2015,0.01799,0.00872,-0.2622,0.422,0.2776
0.75,1.2298,0.01822,0.00893,-0.2622,0.4177,0.3013
1,1.2582,0.01846,0.00908,-0.2622,0.4139,0.313
1.25,1.2871,0.01873,0.00927,-0.2623,0.4103,0.3233
1.75,1.3446,0.01911,0.00966,-0.2624,0.4026,0.3463
2,1.3729,0.01935,0.00989,-0.2623,0.399,0.3609
2.25,1.4012,0.01961,0.01014,-0.2623,0.3958,0.3782
2.5,1.4297,0.01991,0.01041,-0.2624,0.393,0.3977
2.75,1.4584,0.0202,0.0107,-0.2625,0.3901,0.4199
3,1.4865,0.02043,0.01102,-0.2625,0.387,0.446
3.25,1.5143,0.02069,0.01134,-0.2624,0.3838,0.4772
3.5,1.542,0.02096,0.01168,-0.2623,0.3809,0.5148
3.75,1.5696,0.02125,0.01203,-0.2622,0.3783,0.5584
4,1.5966,0.02156,0.0124,-0.262,0.3759,0.6082
4.25,1.6235,0.02189,0.01277,-0.2617,0.3735,0.6698
4.5,1.6469,0.02207,0.01314,-0.2607,0.3711,0.7589
5,1.6836,0.02237,0.01365,-0.2565,0.3661,1
5.25,1.709,0.02274,0.01402,-0.256,0.3637,1
5.5,1.734,0.02313,0.0144,-0.2554,0.3614,1
5.75,1.7587,0.02353,0.01478,-0.2548,0.3591,1
6,1.7838,0.02397,0.01519,-0.2543,0.3568,1
6.25,1.8091,0.02442,0.01562,-0.2538,0.3544,1
6.5,1.8319,0.02482,0.0161,-0.2529,0.352,1
6.75,1.8545,0.02524,0.01659,-0.2519,0.3494,1
7,1.8763,0.02566,0.01708,-0.2507,0.3465,1
7.25,1.8978,0.0261,0.01756,-0.2495,0.3437,1
7.5,1.9192,0.02656,0.01803,-0.2483,0.341,1
7.75,1.942,0.02707,0.0185,-0.2474,0.3383,1
8,1.9617,0.02757,0.0191,-0.246,0.3354,1
8.25,1.9798,0.02806,0.01972,-0.2442,0.3321,1
8.5,1.998,0.02858,0.02033,-0.2424,0.3287,1
8.75,2.0163,0.02911,0.02093,-0.2408,0.3256,1
9,2.0348,0.02967,0.02152,-0.2391,0.3227,1
9.25,2.0542,0.03028,0.02213,-0.2377,0.3198,1
9.5,2.0691,0.03091,0.02295,-0.2355,0.3163,1
9.75,2.0837,0.03155,0.02373,-0.2332,0.3123,1
10,2.0975,0.03223,0.0245,-0.2309,0.3082,1
10.25,2.1117,0.03295,0.02523,-0.2286,0.3046,1
10.5,2.1247,0.03374,0.02617,-0.2263,0.3005,1
10.75,2.137,0.03456,0.02715,-0.2238,0.2958,1
11,2.1469,0.03545,0.02811,-0.2211,0.2906,1
11.25,2.1566,0.03643,0.02917,-0.2184,0.2857,1
11.5,2.1669,0.03743,0.03035,-0.2159,0.2798,1
11.75,2.1749,0.03858,0.03158,-0.2131,0.2744,1
12,2.1832,0.03979,0.0329,-0.2105,0.2692,1
12.25,2.1911,0.04109,0.03435,-0.208,0.263,1
12.5,2.1951,0.04265,0.03597,-0.2051,0.2571,1
12.75,2.2015,0.04419,0.03767,-0.2027,0.2506,1
13,2.2033,0.04609,0.03965,-0.1999,0.2439,1
13.25,2.2055,0.04811,0.04178,-0.1974,0.2366,1
13.5,2.2037,0.05057,0.04432,-0.1947,0.2291,1
13.75,2.2028,0.05312,0.04699,-0.1924,0.2216,1
14,2.1966,0.05632,0.05026,-0.19,0.2141,1
14.25,2.1912,0.05965,0.05371,-0.1881,0.2059,1
14.5,2.1798,0.06386,0.05799,-0.1863,0.1984,1
14.75,2.1685,0.06833,0.06258,-0.1849,0.1902,1
15,2.1524,0.07369,0.06803,-0.1841,0.1835,1
15.25,2.1359,0.07943,0.0739,-0.1837,0.1762,1
15.5,2.115,0.08606,0.08064,-0.184,0.1701,1
15.75,2.0959,0.09269,0.0874,-0.1847,0.1635,1
